,psnr,psnr,psnr,ssim,ssim,niqe,niqe
,mean,std,count,mean,std,mean,std
degradation,,,,,,,
blur_3,30.723783381456535,4.462508583644045,20,0.8883389554336668,0.06680726661097176,4.8416050848254795,0.8429199403693087
blur_7,29.409470206150964,3.9597749967957543,20,0.8517766129095223,0.07729204991376354,5.450681936143891,1.0184649197361082
downs_up_x2,30.04856520883528,4.136468323459173,20,0.871263550190896,0.0708008269986771,5.0089758490793015,0.727632266945717
downs_up_x4,28.28438817875558,3.8466852389950237,20,0.8169701963441106,0.09127983222399014,5.870315577440504,1.6415114589132982
gauss_10,27.53880910163461,1.875804136174721,20,0.7056685763689139,0.0976664866405821,4.8484754058043125,1.3359694120395444
gauss_25,22.519696613795787,1.1366161003647657,20,0.47973979430547564,0.11437263413356771,5.580090210542846,2.3099932454713423
jpeg_10,28.626268837543044,2.731273368121403,20,0.8188379683112613,0.06823716390712703,5.2519089794728355,1.2627830259665598
jpeg_30,30.24190441253583,3.7342390693365104,20,0.8674102946954371,0.0643653114398419,4.570921344642767,0.7381387298341947
